Date,AAPL,AMZN,GOOG,META,MSFT,NIO,NVDA,RIVN,TSLA
2024-01-02,184.2904053,149.9299927,138.7353363,344.4006042,366.7073975,8.420000076,48.14657593,21.10000038,248.4199982
2024-01-03,182.9105225,148.4700012,139.5306091,342.5905457,366.4404297,8.5,47.5478363,20.31999969,238.4499969
2024-01-04,180.5875397,144.5700073,137.2243042,345.2260742,363.8102722,8.270000458,47.97665405,19.5,237.9299927
2024-01-05,179.8628387,145.2400055,136.5781555,350.0297241,363.6224365,8.06000042,49.07515717,19.07999992,237.4900055
2024-01-08,184.2109833,149.1000061,139.6996155,356.7030945,370.4845276,7.929999828,52.22975159,19.57999992,240.4499969
2024-01-09,183.7940369,151.3699951,141.7175903,355.4797974,371.5721741,7.559999943,53.11636353,19.25,234.9600067
2024-01-10,184.8364258,153.7299957,142.9502869,368.4486389,378.4738159,7.409999847,54.32582474,19.06999969,233.9400024
2024-01-11,184.2407837,155.1799927,142.8210449,367.6530151,380.3129272,7.400000095,54.79761124,18.79000092,227.2200012
2024-01-12,184.5683746,154.6199951,143.3876801,372.4467163,384.1098633,7.170000076,54.6856575,18.05999947,218.8899994
2024-01-16,182.2950439,153.1600037,143.2286224,365.4550476,385.8896484,6.550000191,56.35692215,17.81999969,219.9100037
2024-01-17,181.3519287,151.7100067,142.0456543,366.3601685,385.0986023,6.300000191,56.02806854,16.76000023,215.5500031
2024-01-18,187.2586975,153.5,144.1332703,374.0778198,389.4492493,6.28000021,57.08160019,15.73999977,211.8800049
2024-01-19,190.1673737,155.3399963,147.0956421,381.3578796,394.1953735,6.059999943,59.46453857,15.47999954,212.1900024
2024-01-22,192.480423,154.7799988,146.8371887,379.696991,392.0596313,5.980000019,59.62746811,16.03000069,208.8000031
2024-01-23,193.7610779,156.0200043,147.8014374,383.0983276,394.4227905,6.210000038,59.84637451,16.04000092,209.1399994
2024-01-24,193.0859985,156.8699951,149.4615784,388.5683289,398.041687,6.070000172,61.33470535,15.34000015,207.8300018
2024-01-25,192.7584076,157.75,152.7321472,391.0346985,400.3257751,6.039999962,61.58959198,15,182.6300049
2024-01-26,191.0211487,159.1199951,152.8812561,391.989502,399.3963623,6.139999866,61.00385284,15.28999996,183.25
2024-01-29,190.3361359,161.2599945,153.9250488,398.8319702,405.1213379,6.139999866,62.43721008,16.12000084,190.9299927
2024-01-30,186.6729736,159,152.1456299,397.8771973,404.0040283,5.789999962,62.74607468,15.65999985,191.5899963
2024-01-31,183.059433,155.1999969,140.9621124,388.0113525,393.1176147,5.619999886,61.49963379,15.31000042,187.2899933
2024-02-01,185.5015564,159.2799988,141.866745,392.6260376,399.2480164,5.710000038,62.99896622,15.52999973,188.8600006
2024-02-02,184.4988861,171.8099976,142.6918182,472.3983765,406.6044922,5.539999962,66.13057709,15.60000038,187.9100037
2024-02-05,186.3155823,170.3099976,144.0735931,456.9034119,401.0970154,5.380000114,69.30116272,14.93999958,181.0599976
2024-02-06,187.9238281,169.1499939,144.550766,452.2390137,400.9388123,6.03000021,68.19265747,15.5,185.1000061
2024-02-07,188.0330353,170.5299988,145.8132629,467.027832,409.4027405,5.860000134,70.06781769,15.17000008,187.5800018
2024-02-08,186.950943,169.8399963,146.3500824,467.4356384,409.4620361,5.820000172,69.61001587,16.11000061,189.5599976
2024-02-09,187.7163239,174.4499969,149.3323517,465.5559387,415.8297729,5.929999828,72.10092926,16.68000031,193.5700073
2024-02-12,186.0265198,172.3399963,147.8511353,466.3416138,410.5991516,6.079999924,72.21586609,16.32999992,188.1300049
2024-02-13,183.9291687,168.6399994,145.5050964,457.6095581,401.759491,5.699999809,72.09592438,15.38000011,184.0200043
2024-02-14,183.0445099,170.9799957,146.2705688,470.6976929,405.6426392,6,73.86714172,15.53999996,188.7100067
2024-02-15,182.7562714,169.8000031,143.0894623,481.3890686,402.7402039,6.090000153,72.62567139,16.35000038,200.4499969
2024-02-16,181.2155609,169.5099945,140.9223328,470.7375183,400.2637024,6.139999866,72.58069611,16.29999924,199.9499969
2024-02-20,180.4700623,167.0800018,141.3597107,469.1760559,399.0056152,5.960000038,69.42110443,15.89000034,193.7599945
2024-02-21,181.2255249,168.5899963,142.990036,465.9702454,398.4013367,5.96999979,67.44199371,15.39000034,194.7700043
2024-02-22,183.2632141,174.5800018,144.4612885,483.9906006,407.7823792,5.849999905,78.50306702,11.44999981,197.4100037
2024-02-23,181.4243317,174.9900055,144.431488,481.8998413,406.4846802,5.400000095,78.78193665,10.06999969,191.9700012
2024-02-26,180.0724792,174.7299957,137.93013,479.619873,403.7109985,5.650000095,79.05682373,10.69999981,199.3999939
2024-02-27,181.5336609,173.5399933,139.272171,484.9065247,403.6515808,5.78000021,78.66598511,11.14000034,199.7299957
2024-02-28,180.3309174,173.1600037,136.6179047,481.8898315,403.8893433,5.429999828,77.62845612,11.30000019,202.0399933
2024-02-29,179.6649475,176.7599945,138.95401,487.9729919,409.7536926,5.75,79.07681274,11.31999969,201.8800049
2024-03-01,178.5814819,178.2200012,137.2640839,500.089386,411.5961914,5.78000021,82.24239349,11.35000038,202.6399994
2024-03-04,174.0488586,177.5800018,133.4070129,495.9975281,411.021698,5.329999924,85.19908905,10.90999985,188.1399994
2024-03-05,169.0987549,174.1199951,132.9894867,488.0625916,398.8669128,5.480000019,85.92979431,10.93000031,180.7400055
2024-03-06,168.1047363,173.5099945,131.7767029,493.9067688,398.3122253,5.769999981,88.66470337,11.02999973,176.5399933
2024-03-07,167.9854736,176.8200073,134.4408722,509.9358826,405.29599,5.769999981,92.63212585,12.51000023,178.6499939
